[2026-07-03 10:31:08] [NodeB] [main] [INFO] Starting NodeB on port 7002
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:08] [NodeB] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:53] [NodeB] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:47872
[2026-07-03 10:31:54] [NodeB] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:44186
[2026-07-03 10:31:54] [NodeB] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:44188
[2026-07-03 10:31:55] [NodeB] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:44196
[2026-07-03 10:31:55] [NodeB] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:44212
[2026-07-03 10:31:56] [NodeB] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:44228
[2026-07-03 10:31:56] [NodeB] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:44242
[2026-07-03 10:31:57] [NodeB] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:44254
[2026-07-03 10:31:57] [NodeB] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:44268
[2026-07-03 10:31:58] [NodeB] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:44270
[2026-07-03 10:31:58] [NodeB] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:44286
[2026-07-03 10:31:59] [NodeB] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:44292
[2026-07-03 10:31:59] [NodeB] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:44308
[2026-07-03 10:32:00] [NodeB] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:44316
[2026-07-03 10:32:00] [NodeB] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:44326
[2026-07-03 10:32:01] [NodeB] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:44328
[2026-07-03 10:32:01] [NodeB] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:44338
[2026-07-03 10:32:02] [NodeB] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:44352
[2026-07-03 10:32:02] [NodeB] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:44368
[2026-07-03 10:32:03] [NodeB] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:44372
[2026-07-03 10:32:03] [NodeB] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:44374
[2026-07-03 10:32:04] [NodeB] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:53710
[2026-07-03 10:32:04] [NodeB] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:53724
[2026-07-03 10:32:05] [NodeB] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:53734
[2026-07-03 10:32:05] [NodeB] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:53736
[2026-07-03 10:32:06] [NodeB] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:53748
[2026-07-03 10:32:06] [NodeB] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:53750
[2026-07-03 10:32:07] [NodeB] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:53752
[2026-07-03 10:32:07] [NodeB] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:53764
[2026-07-03 10:32:08] [NodeB] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:53766
[2026-07-03 10:32:08] [NodeB] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:53776
