[2026-07-03 10:31:08] [NodeC] [main] [INFO] Starting NodeC on port 7003
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
[2026-07-03 10:31:08] [NodeC] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:32:50] [NodeC] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:57096
[2026-07-03 10:32:51] [NodeC] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:57108
[2026-07-03 10:32:51] [NodeC] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:57114
[2026-07-03 10:32:52] [NodeC] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:57126
[2026-07-03 10:32:52] [NodeC] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:57128
[2026-07-03 10:32:53] [NodeC] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:57134
[2026-07-03 10:32:53] [NodeC] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:57148
[2026-07-03 10:32:54] [NodeC] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:58988
[2026-07-03 10:32:54] [NodeC] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:58994
[2026-07-03 10:32:55] [NodeC] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:59000
[2026-07-03 10:32:55] [NodeC] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:59006
[2026-07-03 10:32:56] [NodeC] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:59020
[2026-07-03 10:32:56] [NodeC] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:59036
[2026-07-03 10:32:57] [NodeC] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:59040
[2026-07-03 10:32:57] [NodeC] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:59044
[2026-07-03 10:32:58] [NodeC] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:59046
[2026-07-03 10:32:58] [NodeC] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:59056
[2026-07-03 10:32:59] [NodeC] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:59070
