[2026-07-03 10:31:07] [NodeA] [main] [INFO] Starting NodeA on port 7001
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:07] [NodeA] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:31:58] [NodeA] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:37472
[2026-07-03 10:31:58] [NodeA] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:37474
[2026-07-03 10:31:59] [NodeA] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:37478
[2026-07-03 10:31:59] [NodeA] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:37492
[2026-07-03 10:32:00] [NodeA] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:37508
[2026-07-03 10:32:00] [NodeA] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:37522
[2026-07-03 10:32:01] [NodeA] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:37538
[2026-07-03 10:32:01] [NodeA] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:37552
[2026-07-03 10:32:02] [NodeA] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:37562
[2026-07-03 10:32:02] [NodeA] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:37572
[2026-07-03 10:32:03] [NodeA] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:37584
[2026-07-03 10:32:03] [NodeA] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:37598
[2026-07-03 10:32:04] [NodeA] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:54526
[2026-07-03 10:32:04] [NodeA] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:54528
[2026-07-03 10:32:05] [NodeA] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:54530
[2026-07-03 10:32:05] [NodeA] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:54544
[2026-07-03 10:32:06] [NodeA] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:54556
